episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
104,0.45058920182993684,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.000186920166015625,0.02780747413635254,7,1,True,7,16,0.999,1
105,0.4501386126281069,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015807151794433594,0.027965545654296875,4,2,True,5,16,0.999,1
106,0.4496884740154788,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00019311904907226562,0.02815866470336914,4,3,True,6,16,0.999,1
107,0.4492387855414633,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002658367156982422,0.028424501419067383,3,2,True,4,16,0.999,1
108,0.4487895467559218,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00011515617370605469,0.028539657592773438,2,2,True,3,16,0.999,1
109,0.4483407572091659,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013113021850585938,0.028670787811279297,4,1,True,4,16,0.999,1
110,0.4478924164519567,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003249645233154297,0.028995752334594727,10,3,True,12,16,0.999,1
111,0.4474445240355048,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005848407745361328,0.02958059310913086,13,9,True,21,16,0.999,1
112,0.4469970795114693,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013899803161621094,0.02971959114074707,3,2,True,4,16,0.999,1
113,0.4465500824319578,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00011610984802246094,0.02983570098876953,2,2,True,3,16,0.999,1
114,0.4461035323495259,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00010585784912109375,0.029941558837890625,0,3,True,2,16,0.999,1
115,0.44565742881717635,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00011491775512695312,0.030056476593017578,2,2,True,3,16,0.999,1
116,0.44521177138835916,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00028204917907714844,0.030338525772094727,2,7,True,8,16,0.999,1
117,0.4447665596169708,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00018310546875,0.030521631240844727,2,4,True,5,16,0.999,1
118,0.44432179305735386,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00019097328186035156,0.030712604522705078,4,3,True,6,16,0.999,1
119,0.4438774712642965,1.0,1.0,1.0,0.125,0.123,0.98,0.8,0.00022602081298828125,0.03093862533569336,4,4,True,7,16,0.999,1
120,0.4434335937930322,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00022912025451660156,0.03116774559020996,4,2,True,5,16,0.999,1
121,0.4429901601992392,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001270771026611328,0.031294822692871094,1,3,True,3,16,0.999,1
122,0.44254717003904,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003139972686767578,0.03160881996154785,5,6,True,10,16,0.999,1
123,0.44210462286900093,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013709068298339844,0.03174591064453125,3,2,True,4,16,0.999,1
124,0.44166251824613195,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.202957153320312e-05,0.03183794021606445,1,2,True,2,16,0.999,1
125,0.44122085572788583,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013375282287597656,0.03197169303894043,6,0,True,5,16,0.999,1
126,0.44077963487215793,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.298324584960938e-05,0.03206467628479004,1,2,True,2,16,0.999,1
127,0.4403388552372858,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00037598609924316406,0.0324406623840332,3,9,True,11,16,0.999,1
128,0.43989851638204847,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005660057067871094,0.03300666809082031,9,11,True,19,16,0.999,1
129,0.4394586178656664,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006048679351806641,0.03361153602600098,8,13,True,20,16,0.999,1
130,0.43901915924780077,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.58306884765625e-05,0.03369736671447754,2,1,True,2,16,0.999,1
131,0.43858014008855295,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.440017700195312e-05,0.03378176689147949,2,1,True,2,16,0.999,1
132,0.4381415599484644,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.392333984375e-05,0.03386569023132324,2,1,True,2,16,0.999,1
133,0.4377034183885159,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005509853363037109,0.03441667556762695,13,8,True,20,16,0.999,1
134,0.4372657149701274,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00045228004455566406,0.03486895561218262,13,5,True,17,16,0.999,1
135,0.4368284492551573,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0007801055908203125,0.03564906120300293,17,12,True,28,16,0.999,1
136,0.43639162080590216,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002760887145996094,0.03592514991760254,8,3,True,10,16,0.999,1
137,0.43595522918509627,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003190040588378906,0.03624415397644043,4,7,True,10,16,0.999,1
138,0.43551927395591117,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.298324584960938e-05,0.03633713722229004,1,2,True,2,16,0.999,1
139,0.43508375468195526,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.179115295410156e-05,0.03642892837524414,1,2,True,2,16,0.999,1
140,0.43464867092727333,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015592575073242188,0.03658485412597656,3,2,True,4,16,0.999,1
141,0.43421402225634603,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002779960632324219,0.036862850189208984,5,5,True,9,16,0.999,1
142,0.4337798082340897,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004999637603759766,0.03736281394958496,6,11,True,16,16,0.999,1
143,0.43334602842585557,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003540515899658203,0.03771686553955078,10,4,True,13,16,0.999,1
144,0.4329126823974297,0.0,0.0,0.0,0.0,0.0,0.98,0.8,5.793571472167969e-05,0.03777480125427246,1,1,True,1,16,0.999,1
145,0.43247976971503227,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0009100437164306641,0.038684844970703125,20,13,True,32,16,0.999,1
146,0.4320472899453172,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00030803680419921875,0.038992881774902344,6,5,True,10,16,0.999,1
147,0.4316152426553719,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00016999244689941406,0.03916287422180176,6,1,True,6,16,0.999,1
148,0.4311836274127165,0.0,0.0,0.0,0.0,0.0,0.98,0.8,6.008148193359375e-05,0.03922295570373535,1,1,True,1,16,0.999,1
149,0.43075244378530375,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004298686981201172,0.03965282440185547,5,6,True,10,16,0.999,1
150,0.43032169134151843,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00016999244689941406,0.03982281684875488,3,3,True,5,16,0.999,1
151,0.42989136965017694,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00033473968505859375,0.04015755653381348,9,4,True,12,16,0.999,1
152,0.4294614782805268,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013685226440429688,0.04029440879821777,3,2,True,4,16,0.999,1
153,0.42903201680224623,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.082389831542969e-05,0.0403752326965332,2,1,True,2,16,0.999,1
154,0.428602984785444,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006091594696044922,0.040984392166137695,8,13,True,20,16,0.999,1
155,0.4281743818006586,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00019097328186035156,0.04117536544799805,3,2,True,4,16,0.999,1
156,0.42774620741885794,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001251697540283203,0.04130053520202637,4,1,True,4,16,0.999,1
157,0.42731846121143907,0.0,0.0,0.0,0.0,0.0,0.98,0.8,5.91278076171875e-05,0.041359663009643555,1,1,True,1,16,0.999,1
158,0.42689114275022766,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001499652862548828,0.04150962829589844,2,3,True,4,16,0.999,1
159,0.4264642516074774,0.0,0.0,0.0,0.0,0.0,0.98,0.8,6.29425048828125e-05,0.04157257080078125,1,1,True,1,16,0.999,1
160,0.42603778735586995,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00033402442932128906,0.04190659523010254,6,6,True,11,16,0.999,1
161,0.42561174956851405,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00037407875061035156,0.04228067398071289,10,3,True,12,16,0.999,1
162,0.42518613781894554,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004253387451171875,0.04270601272583008,7,8,True,14,16,0.999,1
163,0.4247609516811266,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00011491775512695312,0.04282093048095703,2,2,True,3,16,0.999,1
164,0.42433619072944545,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.296966552734375e-05,0.042903900146484375,2,1,True,2,16,0.999,1
165,0.423911854538716,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00012683868408203125,0.043030738830566406,1,3,True,3,16,0.999,1
166,0.4234879426841773,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004029273986816406,0.04343366622924805,9,6,True,14,16,0.999,1
167,0.4230644547414931,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.177757263183594e-05,0.04351544380187988,2,1,True,2,16,0.999,1
168,0.42264139028675163,0.0,0.0,0.0,0.0,0.03969107437037037,0.98,0.8,0.0007109642028808594,0.04422640800476074,16,11,True,26,16,0.999,1
169,0.4222187488964649,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002760887145996094,0.04450249671936035,8,3,True,10,16,0.999,1
