,Iteration,Fitness,Time,State,current_restart,Restarts
66,32,4949.238094085259,8.017810282,"[41 37 29  4 17 35 21 25 38 12 32 49 13 47 45 27  2 28 26 14  0 33  8 18
 15 30 24  5 42 34 43 20 39  1 46 31  9  7 11 48 22  6 36 16 44 23 10 19
  3 40]",2,5
67,64,4673.752152027273,8.024232609999999,"[41 37 29  4 34 35 23 31 38 12 32 49 13 47 45 27  5 28 26 14  0 33  8 18
 15 22 24 30 42 17 43 20 39  1 46 25  9  7 11 48  2  6 36 16 44 21 10 19
  3 40]",2,5
68,128,4119.847240999485,8.03689630000001,"[41 37 22  4 34 35 23 31 38 12 32 49  9 25 45 27  5 10 26  8  0 33 14  6
 18 29 16 30 28 17 43 20 39  1 48 47 13  7 11 46  2 15 36 24 44 21 42 19
  3 40]",2,5
69,256,3542.5354501151132,8.062831946000003,"[21 37 34  4 22 35 23  8 14  9 10 49 40 25 46 27  5 38 26 45  0 33 17  6
 18 29 16 30 28  2 32 20 39  1 48 47 13  7 11 31 15 42 43 41 44 36 24 19
  3 12]",2,5
70,512,2883.62369638503,8.117072493999999,"[39 16 29 43 24 35 23  8 26 14  9 12  5 11 46 38  3 19 33 45 10  7 17 34
 18  6 37 30 28  2 32 22  4 42 47 48 13  1 25 31 15  0 21 41 36 44 20 27
 40 49]",2,5
71,1024,2598.250136346438,8.241493113000004,"[36 16 29 35 24 17 23  0 26  9  8 12  5 11 46 38  3 31 25 45 10  7 34 32
 18  6 37 30 28  2 44 22 43 33 47 48 13 15 42 19  1 14 21 41  4 20 39 27
 40 49]",2,5
72,2048,2093.60987561914,8.548902522000006,"[36 16 29 35 24 23 17  0 26  9 25 46  5 11 27 38  3 31 19 15 10  7 34 18
 32  6 37 30  2 28  4 22 44 33 48 47 42 45 13  8  1 14 21 41 39 20 49 12
 40 43]",2,5
73,4096,1955.0719196574469,9.359436310000007,"[36 29 16 35 24 23  7  0  8  9 25 46 11 27  5 38  3 31 19 15 10 17 34 18
 32  6 37 30  2 28  4 43 40  1 42 47 48 45 13 33 26 14 21 44 22 20 49 12
 39 41]",2,5
74,8192,1858.3868164750845,11.892368734000001,"[ 4 29 16 35 24 23  7  0  8 40 25 46 11 27  5 38  3 31 19 15 10 37 34 18
 32  6 30 17 28  2 36 43 26 33 42 47 48 45 13  9  1 14 21 41 22 20 49 12
 39 44]",2,5
75,0,5503.8909521383175,11.902653604999998,"[13 15 47 17  7 26 21  6 28 42 37 39  9 10  8 40 38 23 11 24 30  4 33  0
 14  5 49 18 34 16 20 35 31 36  1  2 32 41 19 22 27 45 43 12 29 44 46  3
 48 25]",3,5
76,1,5498.311033984352,11.903282812,"[13 15 28 17  7 26 21  6 47 42 37 39  9 10  8 40 38 23 11 24 30  4 33  0
 14  5 49 18 34 16 20 35 31 36  1  2 32 41 19 22 27 45 43 12 29 44 46  3
 48 25]",3,5
77,2,5498.311033984352,11.903769190000006,"[13 15 28 17  7 26 21  6 47 42 37 39  9 10  8 40 38 23 11 24 30  4 33  0
 14  5 49 18 34 16 20 35 31 36  1  2 32 41 19 22 27 45 43 12 29 44 46  3
 48 25]",3,5
78,4,5488.012818934547,11.904493187,"[13 15 28 30  7 26 21  6 47 42 37 39  9 10  8 40 38 23 11 24 17  4 33  0
 14  5 49 18 34 16 20 35 31 36  1  2 32 41 19 22 27 45 43 12 29 44 46  3
 48 25]",3,5
79,8,5334.0849603660245,11.90561524200001,"[13 15 28 30  7 26 37  6 47 42 21 12  9 10  8 40 38 23 11 24 17  4 33  0
 14  5 49 18 34 16 20 43 31 36  1  2 32 41 19 22 27 45 35 39 29 44 46  3
 48 25]",3,5
80,16,4827.679433805211,11.907473441999997,"[13 15 28 30  7 26 37  6 47 42 21 24  9 10  8 40 36 23 11 12 17  4 33  0
 14  5 35 18 34 16 20 43 31 38  1  2 32 41 19 22 27  3 49 39 29 44 46 45
 48 25]",3,5
81,32,4739.791280353414,11.910787999999997,"[13 15 28 30  7 26 37  6 47 42 21 24  9 10  8 40 36 23 11 12 17  4 33  0
 14  2 29 18 34 16 20 43 31 38  1  5 32 41 19 22 27  3 49 39 35 44 46 45
 48 25]",3,5
82,64,4473.418661309111,11.917802996000006,"[13  4 28 26  7 30 37  6 48 42 21 24  9 10  8 33 36 23 11 12  5 15 40  0
 14  2 29 18 34 16 20 43 31 38  1 17 32 41 19 22 27  3 49 39 35 44 46 45
 47 25]",3,5
83,128,4335.812893877502,11.930329454000002,"[10  4 28 43  7 30  6 37 48 42 24 35  9 13  8 33 36 23 11 12 26 15 45  0
 14  2 29 18 34 16 20  5 31 38  1 17 32 41 19 22 27  3 49 39 21 44 46 40
 47 25]",3,5
84,256,3549.575324993716,11.95766157700001,"[43 23 24 21  7 32  6 37 10 42 28 35  8 13 45 33 36  4 20 44 14 15 47  0
 26  2 29 18 34 16 12  5 31 38 49 17 30 48 19 25 11 40 27 39 41  1 46  3
  9 22]",3,5
85,512,3055.713328216742,12.012343165000004,"[43 23 24 21 16 29  6 37 10 42 28  7  8 13 45 33 36  4 39 44 14 48 47  9
 26  2 32 18 34 35  0 46 31 25  1 17 30 15 19 38 11  3 27 12 49 41 40  5
 20 22]",3,5
86,1024,2683.5822328634713,12.141033655000001,"[21 23 24 35 16 34  6 37 28 30 17  7 26 13 45  8 36  4 44 39 14 48 47 42
  9 43 32 18 29  2 10 46 31 19  1  0 33 15 25  3 38 11 27 12 49 41 40  5
 20 22]",3,5
87,2048,2334.2591861582155,12.454039374000004,"[41 43 24 35 16 34  6  2 28 17 30  7 26 13 45 33 36  4 44 21 14 48 47 42
 10 37 32 18 29 23  9 46 31 19 15  0  8  1 25  3 38 11 27 49 20 22 40  5
 12 39]",3,5
88,4096,2278.3553599964735,13.290922606999999,"[41 43 24 35 16 34  6  2 28 17 30  7 33 13 45 26 36  4 44 21 14 48 47 42
 10 37 32 18 29 23  0 46 31 19 15  9  8  1 25  3 38 11 12 20 49 39 27  5
 40 22]",3,5
89,8192,2220.0858297468994,15.880154441000002,"[44  4 24 35 16 34  6  2 28 17 30  7 33 45 13 26 43 36 41 21 14 42 47 48
 10 37 32 18 29 23  0 46 31 19 15  9  8  1 25  3 38  5 12 20 49 39 27 11
 40 22]",3,5
90,0,6344.46271291162,15.890937567000009,"[33 16 15 29 39  2 37 11  9  8 24 38 14  6  3 21 19  1 46 36 10 28 34 44
 49 47 30 45 23 12 35 31 48  7 43 25 32  5  0 42 40 18 41 17 22  4 20 27
 26 13]",4,5
91,1,6212.872106306222,15.891605912000003,"[33 16 15 29 21  2 37 11  9  8 24 38 14  6  3 39 19  1 46 36 10 28 34 44
 49 47 30 45 23 12 35 31 48  7 43 25 32  5  0 42 40 18 41 17 22  4 20 27
 26 13]",4,5
92,2,6212.872106306222,15.892033808999997,"[33 16 15 29 21  2 37 11  9  8 24 38 14  6  3 39 19  1 46 36 10 28 34 44
 49 47 30 45 23 12 35 31 48  7 43 25 32  5  0 42 40 18 41 17 22  4 20 27
 26 13]",4,5
93,4,5895.517032117659,15.892772179000005,"[33 16 15 29 21  2 37 11  9  8 24 38 14 12  3 10 19  1 46 36 39 28 34 44
 49 47 30 45 23  6 35 31 48  7 43 25 32  5  0 42 40 18 41 17 22  4 20 27
 26 13]",4,5
94,8,5895.517032117659,15.893685133000005,"[33 16 15 29 21  2 37 11  9  8 24 38 14 12  3 10 19  1 46 36 39 28 34 44
 49 47 30 45 23  6 35 31 48  7 43 25 32  5  0 42 40 18 41 17 22  4 20 27
 26 13]",4,5
95,16,5630.315061295604,15.895457452000002,"[33 16 15 29 21  2 37 11  9 43 24 26 14 12  3 10 19  1 46 36 39 28 34 44
 49 47 30 45 23  6 35 31 48  7  8 25 32  5  0 42 40 18 41 17 22  4 20 27
 38 13]",4,5
96,32,5107.066626705165,15.898964864000007,"[32 45  9 29 17  2 37 11 15 43 24 26 14 12  3 10 19 40 35 36 39 28 34 44
 49 47 30 16 23  6 46 31 48  7  8 25 33  5  0 42  1 18 41 21 22  4 20 27
 38 13]",4,5
97,64,4216.427879563867,15.905804465000003,"[30 45  9 29 34  2 37 33 15 43 24  6 14 12  3 10 19 40 35 36 41 17 23 39
 49  0 32 16 28 26 46 31 48  7  8 25 42 47  5 11  1 18 44 21 22  4 20 27
 38 13]",4,5
98,128,3889.064623491769,15.918714422999997,"[45 30  9 41 34 16 37 33 10 43 24  6 14 12 25 47  7 40 35 36  2 17 23 20
 49 22 32 29 28 26 46 31 48 19  8 15 42  3  5 11  1 18 44 21  0  4 39 27
 38 13]",4,5
99,256,3346.5622145182547,15.946036346,"[ 8 30 21 41 34 17 26 33 14 43 24  6 37 10 42 45  7  9  0 36 18 16 23 20
 49 22 32 29 28 12 46 31 47 19 48 15 25 38  3 11  1 40 44  2 35  4 39 27
  5 13]",4,5
100,512,2914.6205730073416,16.00130061600001,"[ 8 17 21 43 34 30 33 26  7 23 28  6 37 10 42 45 13  9 14 36 18 16 32 20
 49 39 22 35 24  1 46 31 47 19 48 15 40  3 38 11 25 12 44  4 29  2 41 27
  5  0]",4,5
101,1024,2468.9539585052366,16.13026895,"[ 8 43 35  2 17 30 33 26  7 23 28  6 37 10 42 45 13 21 24 36 29 32 18 20
 49 39 22 14 40 11  9 46 31 19 47 48 15  3 38  5 27 12 44  4 16 34 41 25
  1  0]",4,5
102,2048,2079.2177726562722,16.519991642999997,"[ 8 23 35 24 17 30 33 26  7 28  2  6 37 10 45  9 13  1 16 34 29 18 32 20
 49 12 27 40 25 11 38  3 31 19 47 48 15 42 46  5 39 22 44  4 36 43 41 21
 14  0]",4,5
103,4096,1892.5414784976062,17.503802468000004,"[ 8 23 24 35  6 37 33 26  7 17 28  2 30 10 45 13  9  1 29 16 34 32 18 20
 49 12 27 40 11  5 38  3 31 19 47 48 42 15 46 25 39 22 44  4 36 43 41 21
 14  0]",4,5
104,8192,1892.5414784976062,20.64321570300001,"[ 8 23 24 35  6 37 33 26  7 17 28  2 30 10 45 13  9  1 29 16 34 32 18 20
 49 12 27 40 11  5 38  3 31 19 47 48 42 15 46 25 39 22 44  4 36 43 41 21
 14  0]",4,5
105,0,6005.061124309827,20.656123644000004,"[35 28 10  7 26  2 20 12 25 17 18  9 29 13 46 45 38 40 37 39 47  1 31  6
 11 16 22  8  4  3 19 48 21 14 44 32 24  5  0 33 42 36 15 41 23 49 30 34
 43 27]",5,5
